AirTemp,BuiltSurface,Elevation,LST,LULC,NDBI,NDVI,PopulationDensity,UrbanClass,WaterDistance,WindSpeed,Longitude,Latitude
28.1694283,0,560,49.05132746,30,-0.091611479,0.490954774,14.79546928,30,295.2964612,2.192059992,73.90313125,18.5320862
27.79409916,0,628,47.8618565,50,0.116017664,0.029453015,4.48154068,30,150.0,1.964554078,73.77522813,18.5091323
29.12462849,0,586,53.35461464,30,0.016730498,0.314824798,7.32497406,30,80.62257748,2.241365912,73.97737885,18.59271646
28.14696374,0,568,51.17391788,30,0.261988304,0.157798165,0.0,30,327.5667871,2.087858749,73.78869406,18.58413951
28.52975997,0,589,50.10749564,30,0.158324821,0.157953907,0.0,12,141.4213562,2.170833195,73.86018233,18.66997095
28.88797394,0,558,43.32614396,10,-0.183628319,0.60323644,0.0,12,342.3448554,2.221364185,73.96796648,18.65445984
27.14588591,0,658,51.48837572,20,0.234699714,0.240420272,0.0,12,1162.841348,1.810214569,73.79751864,18.41726448
27.14588591,87,594,45.04199,50,0.070731221,0.146509341,193.3950806,30,878.4645696,1.810214569,73.81073593,18.44580279
28.52975997,0,585,54.06214478,40,0.122974657,0.171476138,0.0,12,538.1449619,2.170833195,73.86459007,18.69690359
28.1694283,18,642,46.13233838,50,0.03033687,0.151126823,124.1906052,30,931.933474,2.192059992,73.91715137,18.45476699
28.1694283,0,585,47.59866896,20,-0.021915871,0.209876543,129.1369324,30,288.6173938,2.192059992,73.94857391,18.47744223
27.14588591,0,688,48.33354326,30,0.157151096,0.181726299,0.0,21,599.3329626,1.810214569,73.77265544,18.41212507
27.79409916,59,576,42.75875264,10,-0.05933717,0.458469945,411.8981018,30,496.4876635,1.964554078,73.83651639,18.54298913
28.52975997,0,579,56.29411184,30,0.216281628,0.0594884,0.0,21,668.4309987,2.170833195,73.92461975,18.67572458
28.52975997,24,574,47.69779154,50,0.089156627,0.26652452,107.0863953,30,200.0,2.170833195,73.85376774,18.67761378
26.60724477,0,822,49.47857996,30,0.250903459,0.241231822,0.0,11,810.061726,1.532930593,73.72393046,18.44047057
28.12798588,41,608,48.10795394,50,0.16947346,0.117292802,106.6862793,30,572.8001397,2.080543428,73.78715425,18.66905073
28.94811934,0,578,52.83165758,20,0.131274942,0.197799015,0.0,12,241.6609195,2.199623125,74.07898388,18.66859533
